Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
BEHIND,SIN,PER,QF,LHR,LONDON,PER,PERTH,Discount Coach,2019,5,SIN,   ,   ,QF,QF,  ,  ,210.11,421.96,88659,111.49,23425
BEHIND,SIN,PER,SQ,CAN,GUANGZHOU,PER,PERTH,Discount Coach,2019,2,SIN,   ,   ,SQ,SQ,  ,  ,208.19,274.48,57143,163.54,34048
BEHIND,SIN,PER,SQ,AMS,AMSTERDAM,PER,PERTH,Discount Coach,2019,5,SIN,   ,   ,SQ,SQ,  ,  ,207.41,410.95,85234,111.36,23098
BEHIND,SIN,PER,SQ,BOM,MUMBAI,PER,PERTH,Discount Coach,2019,6,SIN,   ,   ,SQ,SQ,  ,  ,206.02,391.16,80588,195.03,40180
BEHIND,SIN,PER,SQ,BKK,BANGKOK,PER,PERTH,Discount Coach,2019,8,SIN,   ,   ,SQ,SQ,  ,  ,205.8,251.52,51762,184.63,37997
BEHIND,SIN,PER,QF,LHR,LONDON,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,QF,QF,  ,  ,205.54,793.69,163134,209.71,43104
BEHIND,SIN,PER,SQ,DAD,DA NANG,PER,PERTH,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,203.36,480.17,97648,334.76,68076
BEHIND,SIN,PER,SQ,TPE,TAIPEI,PER,PERTH,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,202.74,426.04,86376,233.73,47386
BEHIND,SIN,PER,SQ,PEN,PENANG,PER,PERTH,Discount Coach,2019,10,SIN,   ,   ,MI,SQ,  ,  ,202.08,254.33,51394,220.59,44577
BEHIND,SIN,PER,SQ,ATH,ATHENS,PER,PERTH,Discount Coach,2019,8,SIN,   ,   ,TR,SQ,  ,  ,202.06,432.84,87459,130.75,26420
BEHIND,SIN,PER,SQ,CEB,CEBU,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,MI,SQ,  ,  ,200.94,323.84,65072,199.63,40115
BEHIND,SIN,PER,SQ,AMS,AMSTERDAM,PER,PERTH,Discount Coach,2019,11,SIN,   ,   ,SQ,SQ,  ,  ,200.86,576.43,115782,156.19,31373
BEHIND,SIN,PER,SQ,MLE,MALE,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,MI,SQ,  ,  ,200.34,375.27,75181,200.71,40211
BEHIND,SIN,PER,SQ,CTS,SAPPORO,PER,PERTH,Discount Coach,2019,1,HND,SIN,   ,NH,SQ,SQ,  ,198.74,491.12,97606,191.43,38044
BEHIND,SIN,PER,SQ,CEB,CEBU,PER,PERTH,Discount Coach,2019,12,SIN,   ,   ,MI,SQ,  ,  ,197.72,339.2,67067,209.66,41455
BEHIND,SIN,PER,SQ,BKK,BANGKOK,PER,PERTH,Discount Coach,2019,2,SIN,   ,   ,SQ,SQ,  ,  ,197.33,344.47,67975,253.02,49929
BEHIND,SIN,PER,SQ,USM,KOH SAMUI,PER,PERTH,Discount Coach,2019,8,SIN,   ,   ,MI,SQ,  ,  ,195.99,245.37,48090,195.08,38233
BEHIND,SIN,PER,SQ,FRA,FRANKFURT,PER,PERTH,Discount Coach,2019,8,SIN,   ,   ,SQ,SQ,  ,  ,195.51,387.25,75711,106.79,20879
BEHIND,SIN,PER,SQ,CMB,COLOMBO,PER,PERTH,Discount Coach,2019,11,SIN,   ,   ,SQ,SQ,  ,  ,195.51,251.9,49249,148.01,28937
BEHIND,SIN,PER,SQ,COK,KOCHI,PER,PERTH,Discount Coach,2019,5,SIN,   ,   ,MI,SQ,  ,  ,195.13,269.74,52634,148.26,28929
BEHIND,SIN,PER,SQ,AMD,AHMEDABAD,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,SQ,SQ,  ,  ,193.6,385.99,74728,187.1,36222
BEHIND,SIN,PER,SQ,DAD,DA NANG,PER,PERTH,Discount Coach,2019,5,SIN,   ,   ,MI,SQ,  ,  ,193.54,253.11,48987,176.45,34150
BEHIND,SIN,PER,SQ,CPH,COPENHAGEN,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,SQ,SQ,  ,  ,191.75,590.08,113149,166.16,31861
BEHIND,SIN,PER,QF,LHR,LONDON,PER,PERTH,Discount Coach,2019,4,SIN,   ,   ,BA,QF,  ,  ,191.7,335.57,64328,88.73,17009
BEHIND,SIN,PER,SQ,BOM,MUMBAI,PER,PERTH,Discount Coach,2019,7,SIN,   ,   ,SQ,SQ,  ,  ,190.79,446.24,85139,225.35,42994
BEHIND,SIN,PER,SQ,ZRH,ZURICH,PER,PERTH,Discount Coach,2019,3,SIN,   ,   ,SQ,SQ,  ,  ,190.3,366.12,69672,100.65,19154
BEHIND,SIN,PER,SQ,DVO,DAVAO,PER,PERTH,Discount Coach,2019,10,CEB,SIN,   ,MI,MI,SQ,  ,188.85,323.49,61091,188.04,35511
BEHIND,SIN,PER,SQ,HAN,HANOI,PER,PERTH,Discount Coach,2019,9,SIN,   ,   ,SQ,SQ,  ,  ,188.39,253.13,47687,161.71,30464
BEHIND,SIN,PER,SQ,BKK,BANGKOK,PER,PERTH,Discount Coach,2019,12,SIN,   ,   ,SQ,SQ,  ,  ,188.39,341.44,64325,250.87,47262
BEHIND,SIN,PER,SQ,CDG,PARIS,PER,PERTH,Discount Coach,2019,11,SIN,   ,   ,SQ,SQ,  ,  ,187.15,491.57,91997,131.44,24599
BEHIND,SIN,PER,QF,LHR,LONDON,PER,PERTH,Discount Coach,2019,1,SIN,   ,   ,QF,QF,  ,  ,186.9,594.98,111201,157.41,29419
BEHIND,SIN,PER,SQ,DVO,DAVAO,PER,PERTH,Discount Coach,2019,11,CEB,SIN,   ,MI,MI,SQ,  ,186.51,262.77,49009,152.56,28453
BEHIND,SIN,PER,SQ,CEB,CEBU,PER,PERTH,Discount Coach,2019,3,SIN,   ,   ,MI,SQ,  ,  ,186.23,255.56,47592,157.96,29417
BEHIND,SIN,PER,SQ,TPE,TAIPEI,PER,PERTH,Discount Coach,2019,11,SIN,   ,   ,SQ,SQ,  ,  ,185.92,340.44,63295,186.56,34685
